package_name,package_description,package_url
nnabla1.18.0,Neural Network Libraries,https://pypi.org/project/nnabla/
reacnetgenerator1.4.164,Reaction Network Generator,https://pypi.org/project/reacnetgenerator/
landlab2.3.0,Plugin-based component modeling tool.,https://pypi.org/project/landlab/
large-image-tasks1.4.3,Girder Worker tasks for Large Image.,https://pypi.org/project/large-image-tasks/
moderngl5.6.4,ModernGL: High performance rendering for Python 3,https://pypi.org/project/moderngl/
ocrmypdf11.7.3,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",https://pypi.org/project/ocrmypdf/
obspy1.2.2,ObsPy - a Python framework for seismological observatories.,https://pypi.org/project/obspy/
ontobio2.6.4,Library for working with OBO Library Ontologies and associations,https://pypi.org/project/ontobio/
geocoder1.38.1,Geocoder is a simple and consistent geocoding library.,https://pypi.org/project/geocoder/
klio21.2.0,Conventions for Python + Apache Beam,https://pypi.org/project/klio/
klio-core21.2.0,Core klio library for common functionality,https://pypi.org/project/klio-core/
onnxruntime1.7.0,ONNX Runtime is a runtime accelerator for Machine Learning models,https://pypi.org/project/onnxruntime/
jiminy-py1.6.7,Fast and light weight simulator of rigid poly-articulated systems.,https://pypi.org/project/jiminy-py/
klio-exec21.2.0,"Component of klio project that reduces boilerplate while \                    writing YAML-config-driven, Dockerized python Beam pipelines\                     - probably for audio processing.",https://pypi.org/project/klio-exec/
pymannkendall1.4.1,A python package for non-parametric Mann-Kendall family of trend tests.,https://pypi.org/project/pymannkendall/
jina1.1.1,Jina is the cloud-native neural search solution powered by the state-of-the-art AI and deep learning,https://pypi.org/project/jina/
python-opensesame3.3.8,A graphical experiment builder for the social sciences,https://pypi.org/project/python-opensesame/
bohrium-api0.11.0.post60,Bohrium Python API,https://pypi.org/project/bohrium-api/
pytrip983.3.6,PyTRiP,https://pypi.org/project/pytrip98/
pytorch-transformers-pvt-nightly1.2.0.dev201909261000,"Repository of pre-trained NLP Transformer models: BERT & RoBERTa, GPT & GPT-2, Transformer-XL, XLNet and XLM",https://pypi.org/project/pytorch-transformers-pvt-nightly/
pyscf1.7.6.post1,PySCF: Python-based Simulations of Chemistry Framework,https://pypi.org/project/pyscf/
allennlp-pvt-nightly0.9.1.dev201910011800,"An open-source NLP research library, built on PyTorch.",https://pypi.org/project/allennlp-pvt-nightly/
dtale1.41.1,Web Client for Visualizing Pandas Objects,https://pypi.org/project/dtale/
mne0.22.1,MNE python project for MEG and EEG data analysis.,https://pypi.org/project/mne/
napoleontoolbox2.89,Dashboard for financial market data,https://pypi.org/project/napoleontoolbox/
biotite0.27.0,A comprehensive library for computational molecular biology,https://pypi.org/project/biotite/
ktrain0.26.2,ktrain is a wrapper for TensorFlow Keras that makes deep learning and AI more accessible and easier to apply,https://pypi.org/project/ktrain/
xpress8.11.3,FICO Xpress Optimizer Python interface,https://pypi.org/project/xpress/
lalsuite6.82,LIGO Scientific Collaboration Algorithm Library - minimal Python package,https://pypi.org/project/lalsuite/
dm-reverb-nightly0.3.0.dev20210404,Reverb is an efficient and easy-to-use data storage and transport system designed for machine learning research.,https://pypi.org/project/dm-reverb-nightly/
nipype1.6.0,Neuroimaging in Python: Pipelines and Interfaces,https://pypi.org/project/nipype/
biosteam2.25.1,The Biorefinery Simulation and Techno-Economic Analysis Modules,https://pypi.org/project/biosteam/
boost-histogram1.0.1,The Boost::Histogram Python wrapper.,https://pypi.org/project/boost-histogram/
PyGeodesy21.3.3,Pure Python geodesy tools,https://pypi.org/project/pygeodesy/
dtw1.4.0,Python DTW Module,https://pypi.org/project/dtw/
MCEq1.2.1,Numerical cascade equation solver,https://pypi.org/project/mceq/
PyGLM1.99.3,OpenGL Mathematics library for Python,https://pypi.org/project/pyglm/
MOCPy0.8.5,MOC parsing and manipulation in Python,https://pypi.org/project/mocpy/
mllint0.3.3,Linter for Machine Learning projects,https://pypi.org/project/mllint/
torchmetrics0.2.0,PyTorch native Metrics,https://pypi.org/project/torchmetrics/
c2cwsgiutils4.1.1,Common utilities for Camptocamp WSGI applications,https://pypi.org/project/c2cwsgiutils/
deep-daze0.9.0,Deep Daze,https://pypi.org/project/deep-daze/
pandas-summary0.0.7,An extension to pandas describe function.,https://pypi.org/project/pandas-summary/
iminuit2.4.0,Jupyter-friendly Python frontend for MINUIT2 in C++,https://pypi.org/project/iminuit/
nilearn0.7.1,Statistical learning for neuroimaging in Python,https://pypi.org/project/nilearn/
gsq0.1.6,G Square Conditional Independence Test,https://pypi.org/project/gsq/
xtgeo2.14.2,"XTGeo is a Python library for 3D grids, surfaces, wells, etc",https://pypi.org/project/xtgeo/
word2number1.1,Convert number words eg. three hundred and forty two to numbers (342).,https://pypi.org/project/word2number/
vowpalwabbit8.10.0,Vowpal Wabbit Python package,https://pypi.org/project/vowpalwabbit/
glmnet2.2.1,Python wrapper for glmnet,https://pypi.org/project/glmnet/
pytorch-transformers1.2.0,"Repository of pre-trained NLP Transformer models: BERT & RoBERTa, GPT & GPT-2, Transformer-XL, XLNet and XLM",https://pypi.org/project/pytorch-transformers/
p4p3.5.3,Python interface to PVAccess protocol client,https://pypi.org/project/p4p/
catalyst21.3.2,Catalyst. PyTorch framework for DL research and development.,https://pypi.org/project/catalyst/
NEURON-nightly8.0a484,Empirically-based simulator for modeling neurons and networks of neurons,https://pypi.org/project/neuron-nightly/
mxnet-mkl1.6.0,MXNet is an ultra-scalable deep learning framework. This version uses MKLDNN.,https://pypi.org/project/mxnet-mkl/
Klampt0.8.6,"Python API to Klamp't, a package for robot modeling, simulating, planning, optimization, and visualization",https://pypi.org/project/klampt/
big-sleep0.8.5,Big Sleep,https://pypi.org/project/big-sleep/
pydotplus2.0.2,Python interface to Graphviz's Dot language,https://pypi.org/project/pydotplus/
MNN1.1.4,C methods for MNN Package,https://pypi.org/project/mnn/
sunpy2.1.3,"""SunPy: Python for Solar Physics""",https://pypi.org/project/sunpy/
pytorch-pretrained-biggan0.1.1,PyTorch version of DeepMind's BigGAN model with pre-trained models,https://pypi.org/project/pytorch-pretrained-biggan/
pyrealsense22.43.0.3018,Python Wrapper for Intel Realsense SDK 2.0.,https://pypi.org/project/pyrealsense2/
symengine0.7.2,Python library providing wrappers to SymEngine,https://pypi.org/project/symengine/
geoopt0.3.1,Unofficial implementation for “Riemannian Adaptive Optimization Methods” ICLR2019 and more,https://pypi.org/project/geoopt/
onnxruntime-gpu1.7.0,ONNX Runtime is a runtime accelerator for Machine Learning models,https://pypi.org/project/onnxruntime-gpu/
smac0.13.1,"SMAC3, a Python implementation of 'Sequential Model-based Algorithm Configuration'.",https://pypi.org/project/smac/
pyrodigal0.4.6,"Python interface to Prodigal, an ORF finder for genomes, progenomes and metagenomes.",https://pypi.org/project/pyrodigal/
pytorch-pretrained-bert0.6.2,PyTorch version of Google AI BERT model with script to load Google pre-trained models,https://pypi.org/project/pytorch-pretrained-bert/
light-curve-python0.2.5,Feature extractor from noisy time series,https://pypi.org/project/light-curve-python/
bx-python0.8.11,"Tools for manipulating biological data, particularly multiple sequence alignments",https://pypi.org/project/bx-python/
tensorboard-plugin-profile2.4.0,Profile Tensorboard Plugin,https://pypi.org/project/tensorboard-plugin-profile/
hmmlearn0.2.5,Hidden Markov Models in Python with scikit-learn like API,https://pypi.org/project/hmmlearn/
ibis-framework1.4.0,Productivity-centric Python Big Data Framework,https://pypi.org/project/ibis-framework/
mplhep0.2.18,Matplotlib styles for HEP,https://pypi.org/project/mplhep/
fysom2.1.5,pYthOn Finite State Machine,https://pypi.org/project/fysom/
stldecompose0.0.5,A Python implementation of seasonal trend with Loess (STL) time series decomposition,https://pypi.org/project/stldecompose/
openml0.11.0,Python API for OpenML,https://pypi.org/project/openml/
nglview2.7.7,IPython widget to interactively view molecular structures and trajectories.,https://pypi.org/project/nglview/
m3-cdecimal2.3,Fast arbitrary precision correctly-rounded decimal floating point arithmetic.,https://pypi.org/project/m3-cdecimal/
pyhdfe0.1.0,High dimensional fixed effect absorption with Python 3,https://pypi.org/project/pyhdfe/
sk-video1.1.10,Video Processing in Python,https://pypi.org/project/sk-video/
geatpy2.6.0,Geatpy is a high-performance Genetic and Evolutionary Algorithms toolbox for Python.,https://pypi.org/project/geatpy/
s2cloudless1.5.0,Sentinel Hub's cloud detector for Sentinel-2 imagery,https://pypi.org/project/s2cloudless/
dask-gateway0.9.0,A client library for interacting with a dask-gateway server,https://pypi.org/project/dask-gateway/
openTSNE0.5.1,"Extensible, parallel implementations of t-SNE",https://pypi.org/project/opentsne/
bezier2021.2.12,"Helper for Bézier Curves, Triangles, and Higher Order Objects",https://pypi.org/project/bezier/
tensorflow-datasets4.2.0,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,https://pypi.org/project/tensorflow-datasets/
barbar0.2.1,Progress bar for deep learning training iterations,https://pypi.org/project/barbar/
deepspeech-gpu0.9.3,A library for running inference on a DeepSpeech model,https://pypi.org/project/deepspeech-gpu/
tbp-nightly2.5.0a20210304,Profile Tensorboard Plugin,https://pypi.org/project/tbp-nightly/
earthengine-api0.1.259,Earth Engine Python API,https://pypi.org/project/earthengine-api/
envisage5.0.0,Extensible application framework,https://pypi.org/project/envisage/
tensorflow-io0.17.0,TensorFlow IO,https://pypi.org/project/tensorflow-io/
laspy1.7.0,Native Python ASPRS LAS read/write library,https://pypi.org/project/laspy/
apptools5.1.0,application tools,https://pypi.org/project/apptools/
vectorhub-nightly1.2.0.2021.4.4.0.32.55.305711,"One liner to encode data into vectors with state-of-the-art models using tensorflow, pytorch and other open source libraries. Word2Vec, Image2Vec, BERT, etc",https://pypi.org/project/vectorhub-nightly/
tfg-nightly2021.4.4,"A library that contains well defined, reusable and cleanly written graphics related ops and utility functions for TensorFlow.",https://pypi.org/project/tfg-nightly/
torch-optimizer0.1.0,pytorch-optimizer,https://pypi.org/project/torch-optimizer/
marisa-trie-m0.7.6,Static memory-efficient and fast Trie-like structures for Python.,https://pypi.org/project/marisa-trie-m/
fairscale0.3.3,FairScale: A PyTorch library for large-scale and high-performance training.,https://pypi.org/project/fairscale/
